dcho_id,dcho_keyword,cho_author
6293,arte romana|copia|Marmo|Pan|Satiro|scultura,Autore sconosciuto
6296,disegno|Thomas de Thomon,"Thomas de Thomon, Jean Francois"
6300,argilla|Figure nere|Kantharos|kòmos|Pan,
6303,Artemide|Diana|Laurencin,"Laurencin, Marie"
6306,arte romana|Artemide|Diana|scultura,Autore sconosciuto
6309,Artemide|Diana|Ecate|Figure rosse|lekythos,
6328,Artemide|Diana|rilievo,Autore sconosciuto
6331,Apollo|Artemide|Diana|Figure nere|olpe,Autore sconosciuto
6334,Apollo|Artemide|Diana|Figure rosse|Leto|oinochoe,
6337,Cerere|Demetra|protome|scultura,Autore sconosciuto
6340,Demetra|peplophoros,Autore sconosciuto
6343,Cerere|Demetra|Kore,Autore sconosciuto
6346,Cerere|Demetra|Persefone|Proserpina,Autore sconosciuto
6349,Persefone|Proserpina|Statua,Scultore romano
6352,Persefone|Proserpina|scultura,Autore sconosciuto
6355,Ade|Cratere|Ermes|Figure rosse|Mercurio|Persefone|Plutone|Proserpina,
6359,Nettuno|Poseidone|Statua,Scultore romano
6363,Nettuno|Poseidone,Autore sconosciuto
6366,Nettuno|Poseidone,Autore sconosciuto
6369,Amimone|Cratere|Figure rosse|Poseidone,
6372,Ercole|Nettuno|Poseidone,Autore sconosciuto
6375,Euridice|Orfeo|Weyer,"Weyer, Hermann"
6380,Canova|Orfeo,"Canova, Antonio"
6384,Dürer|Menadi|Orfeo,"Dürer , Albrecht"
6387,Orfeo|Scorza,"Scorza, Sinibaldo"
6390,Andromeda|Perseo,"Vanloo, Carle"
6393,Andromeda|Perseo,Autore sconosciuto
6396,Andromeda|Matrimonio|Perseo|Regnault,"Regnault, Jean-Baptiste"
6399,Atena|Perseo,Anonimo
6402,Amazzoni,Autore sconosciuto
6405,Amazzoni|Wolf,"Wolff, Emil"
6408,Amazzoni|Anfora|Figure rosse,Anonimo
6411,Afrodite|Statua|Thorvaldsen|Venere,"Thorvaldsen, Bertel"
6414,Argo|Ermes|Mercurio|Thorvaldsen,"Thorvaldsen, Bertel"
6417,Centauri|Deianira|disegno|Nesso|Thorvaldsen,"Thorvaldsen, Bertel"
6420,Ettore|Guerra di troia|Thorvaldsen,"Thorvaldsen, Bertel"
6423,Anello|Ares|Elmo|Marte|Testa,Autore sconosciuto
6426,Ares|Guerra|Marte|soldato,Autore sconosciuto
6429,Ares|Marte|Statua,
6433,Ares|Caraglio|disegno|Marte,"Caraglio, Giovanni Jacopo"
6436,Amore|Ares|Cupido|Marte|Statua|Thorvaldsen,"Thorvaldsen, Bertel"
6439,Bronzo|Fortuna|Statua,Autore sconosciuto
6443,Afrodite|Statua|Venere,"Bartoli, Pietro Santi"
6446,Afrodite|Statua|Venere,Autore sconosciuto
6449,Afrodite|scultura|Venere,Autore sconosciuto
6453,Afrodite|Caraglio|Venere,"Caraglio, Giovanni Jacopo"
6456,Afrodite|scultura|Testa|Venere,Autore sconosciuto
6460,Afrodite|Medici|Statua|Venere,Autore sconosciuto
6463,Adone|Afrodite|Fontana|Venere,"Fontana, Pietro"
6466,Afrodite|disegno|Nascita|Thorvaldsen|Venere,"Thorvaldsen, Bertel"
6469,Adone|Afrodite|Riepenhausen|Venere,"Riepenhausen, Johannes"
6472,Afrodite|Amore|Cupido|Thorvaldsen|Venere,"Thorvaldsen, Bertel"
6475,Afrodite|Amore|Cupido|Venere,Autore sconosciuto
6478,Afrodite|Amore|Cupido|Thorvaldsen|Venere,"Thorvaldsen, Bertel"
6481,Efesto|Statua|Thorvaldsen|Vulcano,"Thorvaldsen, Bertel"
6484,Afrodite|pop art|Venere|Warhol,"Warhol, Andy"
6487,Afrodite|blu|Klein|Venere,"Klein, Yves"
6490,Afrodite|Ray|Venere,"Ray, Man"
6493,Canova|Eracle|Ercole|Lica,"Canova, Antonio"
6496,Afrodite|disabilità|Ray|Venere,"Ray, Man"
6499,Afrodite|Dalì|Venere,"Dalì, Salvador"
6502,Bacco|Dalì|Dioniso|dipinto,"Dalì, Salvador"
6505,Euridice|Orfeo|Savinio|Uffizi,"Savinio, Alberto"
6508,Bronzo|Messina|Narciso|Palazzo Pitti,"Messina, Francesco"
6511,Bacco|Dioniso|Roma|Sciltian,"Sciltian, Gregorio"
6515,accovacciata|Afrodite|British Museum|ley|Venere,Autore sconosciuto
6518,Afrodite|Marmo|Roma|Venere,Autore sconosciuto
6522,Afrodite|Allegraine|bagnante|Louvre|Venere,"Allegraine, Christophe-Gabriel"
6528,Afrodite|Blanchard|Efigenie|Grazie|Venere,"Blanchard, Jacques"
6531,Cibele|Londra|Rodin,"Rodin, Auguste"
6534,Amore|Cupido|Eros|Psiche|Rodin,"Rodin, Auguste"
6538,Afrodite|Doria-Pamphili|Louvre|Statua|Venere,Autore sconosciuto
6541,Afrodite|Ares|gruppo scultoreo|Marte|Venere,Autore sconosciuto
6544,Amore|Chaudet|Cupido|Eros|Louvre|Marmo|Statua,"Chaudet, Antoine-Denis"
6547,Amore|Bouchardon|Cupido|Eros|Louvre|Marmo,"Bouchardon, Edme"
6553,Ade|Inferi|Louvre|Natoire|Persefone|Plutone|Proserpina|Psiche,"Natoire, Charles Joseph"
6556,Apollo|Bronzo|Lillebonne|Louvre,Autore sconosciuto
6559,Bronzo|Eracle|Ercole|Louvre|riposo|Statua,Autore sconosciuto
6562,Argento|Bronzo|Ermes|Louvre|Mercurio|rame|Statua,Autore sconosciuto
6565,Atena|Bologna|Marmo pentelico|Testa,Autore sconosciuto
6568,Atena|Klimt|Pallade,"Klimt, Gustav"
6571,Bronzo|Eracle|Ercole,
6574,Pandora|Prometeo|scrigno|Vaso|Waterhouse,"Waterhouse, John William"
6577,British Museum|Gillray|Pandora|Prometeo|scrigno,"Gillray, James"
6580,British Museum|Pandora|Prometeo|scrigno|Vaso,"Lipinsky, Sigmund"
6586,accovacciata|Afrodite|Louvre|Statua|Venere,Autore sconosciuto
6590,accovacciata|Afrodite|Louvre|Venere,Autore sconosciuto
6594,Afrodite|Bronzo|Louvre|Siria|Statua|Venere,Autore sconosciuto
6597,Afrodite|Alcamene|Louvre|Marmo|Venere,Autore sconosciuto
6601,Afrodite|Arles|Louvre|Statua|Venere,Autore sconosciuto
6604,Afrodite|Louvre|Statua|Venere,Autore sconosciuto
6607,Afrodite|Louvre|Pudica|Venere,Autore sconosciuto
6610,Apollo|Bronzo|ex-voto|Louvre|Piombino,Autore sconosciuto
6613,Apollo|Cassel|Louvre|Statua,Autore sconosciuto
6616,Artemide|Caccia|Cerva|Diana|Louvre,Autore sconosciuto
6622,Bacco|Bronzo|Dioniso|Louvre|Olimpia,Autore sconosciuto
6625,Atena|Louvre|Marmo pario,Autore sconosciuto
6628,Bronzo|Louvre|Minotauro,Autore sconosciuto
6631,disegno|Madrid|Minotauro|Picasso|Teseo,"Picasso, Pablo"
6634,Antiochia|giudizio|Louvre|Mosaico|Paride,Autore sconosciuto
6637,Eufranore|Lansdowne|Louvre|Paride|Statua,Autore sconosciuto
6640,Arianna|Bacco|Bordeaux|Dioniso|Louvre|Sarcofago,Autore sconosciuto
6646,Amazzoni|combattimento|Greci|Lotta|Pentesilea|Sarcofago,Autore sconosciuto
6650,Cayot|Didone|Eneide|Louvre|Morte di Didone|Suicidio,"Cayot, Augustin"
6653,Cellini|Fontainebleau|Louvre|Ninfe,"Cellini, Benvenuto"
6656,cigno|Leda|Thierry|Zeus,"Thierry, Jean"
6659,cigno|Galleria Borghese|Leda|scuola di Leonardo|Zeus,Leonardo Da Vinci
6662,Correggio|Danae|Galleria Borghese|Zeus,Correggio
6672,Anfitrite|Louvre|Poseidone|Prou|Sposa|Statua,"Prou, Jacques, 1655-1706"
6675,Anfitrite|Coysevox|Louvre|Nettunom Poseidone,"Coysevox, Antoine"
6678,Apollo|Coustou|Dafne,"Coustou, Nicolas"
6682,Caccia|Diana|Flamen,"Flamen, Anselme"
6685,Flora|Frémin|Louvre|Statua,"Frémin, René"
6692,Amore|Cupido|Eros|Louvre|Statua|Vassé,"Vassé, Louis-Claude"
6695,Aurora|Bronzo|Carro|Eos|Louvre|Magnier,"Magnier, Philippe"
6699,De Chirico|Itaca|Odisseo|Ritorno,"De Chirico, Giorgio"
6702,Achille|Cavalli|De Chirico|Pittura,"De Chirico, Giorgio"
6705,Edipo|Ernst|re|surrealismo,"Ernst, Max"
6708,Eco|Ernst|Narciso|Ninfe,"Ernst, Max"
6711,Arianna|Ernst|Minotaruro|re|Regina,"Ernst, Max"
